MapChart_ID,Municipio_Nombre,Estado_Sufijo,CVE_ENT,Nom_Limpio,CVEGEO
Oluta_VER,Oluta,VER,30,OLUTA,30116
Jáltipan_VER,Jáltipan,VER,30,JALTIPAN,30089
Zaragoza_VER,Zaragoza,VER,30,ZARAGOZA,30199
Cosoleacaque_VER,Cosoleacaque,VER,30,COSOLEACAQUE,30048
Minatitlán_VER,Minatitlán,VER,30,MINATITLAN,30108
Coatzacoalcos_VER,Coatzacoalcos,VER,30,COATZACOALCOS,30039
Agua_Dulce_VER,Agua Dulce,VER,30,AGUA DULCE,30204
Huimanguillo_TAB,Huimanguillo,TAB,27,HUIMANGUILLO,27008
Nacajuca_TAB,Nacajuca,TAB,27,NACAJUCA,27013
Cárdenas_TAB,Cárdenas,TAB,27,CARDENAS,27002
Cunduacán_TAB,Cunduacán,TAB,27,CUNDUACAN,27006
Centro_TAB,Centro,TAB,27,CENTRO,27004
Centla_TAB,Centla,TAB,27,CENTLA,27003
Carmen_CAM,Carmen,CAM,04,CARMEN,04003
Champotón_CAM,Champotón,CAM,04,CHAMPOTON,04004
Seybaplaya_CAM,Seybaplaya,CAM,04,SEYBAPLAYA,04012
Campeche_CAM,Campeche,CAM,04,CAMPECHE,04002
Tenabo_CAM,Tenabo,CAM,04,TENABO,04008
Hecelchakán_CAM,Hecelchakán,CAM,04,HECELCHAKAN,04005
Calkiní_CAM,Calkiní,CAM,04,CALKINI,04001
Umán_YUC,Umán,YUC,31,UMAN,31101
Mérida_YUC,Mérida,YUC,31,MERIDA,31050
Chocholá_YUC,Chocholá,YUC,31,CHOCHOLA,31023
Maxcanú_YUC,Maxcanú,YUC,31,MAXCANU,31048
Halachó_YUC,Halachó,YUC,31,HALACHO,31033
Kopomá_YUC,Kopomá,YUC,31,KOPOMA,31045
Polotitlán_MEX,Polotitlán,MEX,15,POLOTITLAN,15071
Huichapan_HID,Huichapan,HID,13,HUICHAPAN,13029
Jilotepec_MEX,Jilotepec,MEX,15,JILOTEPEC,15045
Nopaltepec_MEX,Nopaltepec,MEX,15,NOPALTEPEC,15061
Españita_TLA,Españita,TLA,29,ESPANITA,29012
Ixtacuixtla_de_Mariano_Matamoros_TLA,Ixtacuixtla de Mariano Matamoros,TLA,29,IXTACUIXTLA DE MARIANO MATAMOROS,29015
Tlahuapan_PUE,Tlahuapan,PUE,21,TLAHUAPAN,21180
San_Salvador_el_Verde_PUE,San Salvador el Verde,PUE,21,SAN SALVADOR EL VERDE,21143
Rafael_Lucio_VER,Rafael Lucio,VER,30,RAFAEL LUCIO,30136
Banderilla_VER,Banderilla,VER,30,BANDERILLA,30026
Paso_de_Ovejas_VER,Paso de Ovejas,VER,30,PASO DE OVEJAS,30126
Tres_Valles_VER,Tres Valles,VER,30,TRES VALLES,30207
Cosamaloapan_de_Carpio_VER,Cosamaloapan de Carpio,VER,30,COSAMALOAPAN DE CARPIO,30045
Sayula_de_Alemán_VER,Sayula de Alemán,VER,30,SAYULA DE ALEMAN,30144
Texistepec_VER,Texistepec,VER,30,TEXISTEPEC,30172
Soconusco_VER,Soconusco,VER,30,SOCONUSCO,30145
Nanchital_de_Lázaro_Cárdenas_del_Río_VER,Nanchital de Lázaro Cárdenas del Río,VER,30,NANCHITAL DE LAZARO CARDENAS DEL RIO,30206
Moloacán_VER,Moloacán,VER,30,MOLOACAN,30111
Cuapiaxtla_TLA,Cuapiaxtla,TLA,29,CUAPIAXTLA,29008
Huamantla_TLA,Huamantla,TLA,29,HUAMANTLA,29013
Ixtenco_TLA,Ixtenco,TLA,29,IXTENCO,29016
Tocatlán_TLA,Tocatlán,TLA,29,TOCATLAN,29035
Tzompantepec_TLA,Tzompantepec,TLA,29,TZOMPANTEPEC,29038
Apizaco_TLA,Apizaco,TLA,29,APIZACO,29005
Yauhquemehcan_TLA,Yauhquemehcan,TLA,29,YAUHQUEMEHCAN,29043
Xaltocan_TLA,Xaltocan,TLA,29,XALTOCAN,29040
Muñoz_de_Domingo_Arenas_TLA,Muñoz de Domingo Arenas,TLA,29,MUNOZ DE DOMINGO ARENAS,29011
Hueyotlipan_TLA,Hueyotlipan,TLA,29,HUEYOTLIPAN,29014
Sanctórum_de_Lázaro_Cárdenas_TLA,Sanctórum de Lázaro Cárdenas,TLA,29,SANCTORUM DE LAZARO CARDENAS,29020
Querétaro_QUE,Querétaro,QUE,22,QUERETARO,22014
Comonfort_GUA,Comonfort,GUA,11,COMONFORT,11009
Santa_Cruz_de_Juventino_Rosas_GUA,Santa Cruz de Juventino Rosas,GUA,11,SANTA CRUZ DE JUVENTINO ROSAS,11035
Abasolo_GUA,Abasolo,GUA,11,ABASOLO,11001
Pénjamo_GUA,Pénjamo,GUA,11,PENJAMO,11023
La_Piedad_MIC,La Piedad,MIC,16,LA PIEDAD,16069
Yurécuaro_MIC,Yurécuaro,MIC,16,YURECUARO,16106
Tanhuato_MIC,Tanhuato,MIC,16,TANHUATO,16086
Ecuandureo_MIC,Ecuandureo,MIC,16,ECUANDUREO,16030
La_Barca_JAL,La Barca,JAL,14,LA BARCA,14018
Atotonilco_el_Alto_JAL,Atotonilco el Alto,JAL,14,ATOTONILCO EL ALTO,14013
Tototlán_JAL,Tototlán,JAL,14,TOTOTLAN,14105
Hunucmá_YUC,Hunucmá,YUC,31,HUNUCMA,31038
Celestún_YUC,Celestún,YUC,31,CELESTUN,31011
Progreso_YUC,Progreso,YUC,31,PROGRESO,31059
Ucú_YUC,Ucú,YUC,31,UCU,31100
Sinanché_YUC,Sinanché,YUC,31,SINANCHE,31068
Telchac_Puerto_YUC,Telchac Puerto,YUC,31,TELCHAC PUERTO,31083
Dzemul_YUC,Dzemul,YUC,31,DZEMUL,31026
